iter	Passed	Remaining
1024	550499	3477543
1025	551019	3476903
1026	551485	3475914
1027	552054	3475577
1028	552614	3475190
1029	553110	3474394
1030	553589	3473494
1031	554105	3472822
1032	554608	3472073
1033	555092	3471208
1034	555548	3470165
1035	556100	3469721
1036	556655	3469302
1037	557135	3468407
1038	557587	3467347
1039	558075	3466506
1040	558678	3466382
1041	559158	3465492
1042	559702	3465006
1043	560216	3464329
1044	560696	3463440
1045	561244	3462972
1046	561768	3462359
1047	562331	3461988
1048	562793	3460990
1049	563303	3460291
1050	563751	3459216
1051	564231	3458330
1052	564789	3457929
1053	565335	3457448
1054	565806	3456512
1055	566310	3455782
1056	566834	3455167
1057	567406	3454848
1058	567942	3454315
1059	568473	3453744
1060	568963	3452928
1061	569528	3452568
1062	570006	3451673
1063	570533	3451087
1064	571058	3450478
1065	571513	3449451
1066	572096	3449200
1067	572702	3449082
1068	573199	3448311
1069	573694	3447531
1070	574237	3447035
1071	574749	3446349
1072	575225	3445456
1073	575720	3444673
1074	576186	3443719
1075	576690	3442992
1076	577203	3442317
1077	577709	3441602
1078	578249	3441094
1079	578796	3440624
1080	579375	3440343
1081	579909	3439796
1082	580284	3438305
1083	580788	3437583
1084	581268	3436714
1085	581739	3435800
1086	582263	3435194
1087	582785	3434580
1088	583266	3433720
1089	583804	3433201
1090	584281	3432317
1091	584672	3430935
1092	585342	3431190
1093	585857	3430531
1094	586397	3430022
1095	586922	3429427
1096	587451	3428854
1097	587950	3428107
1098	588402	3427081
1099	588859	3426091
1100	589365	3425388
1101	589814	3424347
1102	590332	3423711
1103	590829	3422955
1104	591277	3421916
1105	591719	3420843
1106	592255	3420316
1107	592777	3419704
1108	593235	3418728
1109	593762	3418145
1110	594297	3417611
1111	594786	3416812
1112	595295	3416132
1113	595748	3415125
1114	596211	3414181
1115	596724	3413520
1116	597272	3413060
1117	597845	3412743
1118	598524	3413034
1119	599028	3412322
1120	599516	3411523
1121	600001	3410703
1122	600500	3409964
1123	601017	3409331
1124	601545	3408758
1125	602031	3407946
1126	602608	3407651
1127	603069	3406699
1128	603597	3406129
1129	604115	3405502
1130	604619	3404794
1131	605128	3404115
1132	605575	3403088
1133	606140	3402723
1134	606706	3402366
1135	607202	3401616
1136	607749	3401150
1137	608245	3400401
1138	608854	3400283
1139	609341	3399484
1140	609877	3398959
1141	610397	3398340
1142	610921	3397752
1143	611408	3396953
1144	612056	3397045
1145	612515	3396096
1146	613033	3395467
1147	613567	3394929
1148	614037	3394042
1149	614574	3393520
1150	615129	3393100
1151	615645	3392462
1152	616154	3391786
1153	616695	3391292
1154	617137	3390251
1155	617710	3389924
1156	618231	3389319
1157	618783	3388883
1158	619302	3388261
1159	619782	3387430
1160	620346	3387062
1161	620810	3386144
1162	621321	3385481
1163	621826	3384788
1164	622381	3384366
1165	622886	3383674
1166	623372	3382876
1167	623905	3382339
1168	624414	3381667
1169	624902	3380880
1170	625556	3380998
1171	626015	3380058
1172	626540	3379470
1173	627054	3378831
1174	627566	3378177
1175	628126	3377781
1176	628684	3377374
1177	629225	3376880
1178	629692	3375986
1179	630168	3375141
1180	630633	3374236
1181	631108	3373385
1182	631549	3372355
1183	632025	3371516
1184	632548	3370920
1185	633084	3370400
1186	633532	3369411
1187	634047	3368775
1188	634590	3368293
1189	635144	3367867
1190	635584	3366837
1191	636100	3366210
1192	636629	3365652
1193	637132	3364958
1194	637608	3364115
1195	638106	3363395
1196	638721	3363292
1197	639199	3362468
1198	639768	3362118
1199	640358	3361884
1200	640885	3361315
1201	641441	3360895
1202	641927	3360116
1203	642443	3359490
1204	642910	3358606
1205	643447	3358090
1206	643934	3357317
1207	644445	3356665
1208	644946	3355960
1209	645403	3355031
1210	645981	3354729
1211	646502	3354130
1212	646958	3353194
1213	647426	3352327
1214	647953	3351760
1215	648451	3351041
1216	648976	3350466
1217	649499	3349880
1218	649935	3348848
1219	650430	3348116
1220	650991	3347728
1221	651376	3346435
1222	651980	3346262
1223	652522	3345777
1224	653069	3345315
1225	653579	3344662
1226	654108	3344107
1227	654656	3343651
1228	655073	3342528
1229	655609	3342007
1230	656123	3341380
1231	656517	3340137
1232	656992	3339313
1233	657450	3338399
1234	657822	3337048
1235	658327	3336376
1236	658864	3335865
1237	659353	3335116
